Index,Unnamed: 0,Assay.Type,BioSample,Center.Name,Consent,Experiment,Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample.Name,SRA_study,BioProject,DATASTORE.filetype,DATASTORE.provider,DATASTORE.region,AvgSpotLen,Bases,Bytes,source_name,GEO_Accession..exp.,Strain,Library.Name,SAMPLE_TYPE,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Collection_Date,Isolation_Source,BioSampleModel,Isolate,infection_side,Host,growth_condition,geographical_location,collected_by,lat_lon,host_disease,ENA.FIRST.PUBLIC..run.,ENA.LAST.UPDATE..run.,Genotype,genotype.variation,Replicate,specific_host,Sample_Name,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,SRA_accession,TITLE,AssemblyName,Alias,ENA_checklist,Location,INSDC_center_alias,Description,TREATMENT,growth_time,body_site,organism,strain_background,Time_point,analysis_type..exp.,analysis_type..run.,flowcell_barcode..run.,geographic_location_.country_and.or_sea,X_region.,gssr_id..exp.,gssr_id..run.,instrument_name..run.,isolation.source,lane..run.,library_type..exp.,library_type..run.,lsid..exp.,lsid..run.,material_type..exp.,product_order..exp.,product_order..run.,product_part_number..exp.,product_part_number..run.,project..exp.,project..run.,read_group_id..run.,research_project..exp.,research_project..run.,run_barcode..run.,run_name..run.,work_request..exp.,work_request..run.,Broker_name,growth_phase,ENA_first_public,ENA.LAST.UPDATE,Cell_type,culture_type,culture_collection,Time,phage,Biomaterial_provider,phase_of_infection,antibiotic,environmental_condition,Timepoint,growth_medium,Condition,exposed_to,Passages,media,agent,TISSUE,Phenotype,exposure,protocol,susceptibility,organism_part,fraction,stimulus,Replica,carbon_source,TaxID,medium,Cell_Line,taxonomy_id,cultivation_condition,number_of_cells,treatment_duration,treatment_type,genetic_background,plasmid,Biological_Replicate,depletion_method,growth_stage,host_or_sample_description,Tax_ID,Technical_replicate,treated,dangling_references..run.,ID,Incubation_time,molecule_subtype,geographic_location_.country_and.or_sea.,host_health_state,host_scientific_name,Treatment
SRR11614309,815,RNA-Seq,SAMN14734718,GEO,public,SRX8180525,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa PA14,ILLUMINA,2020-04-29T00:00:00Z,GSM4498834,SRP258668,PRJNA628595,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",75.0,422914864.0,185037228.0,colony biofilm,GSM4498834,PA14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,652611,,,,,,,,,,,,,,,,,,,,,,SAMN14734718
SRR3722270,1455,RNA-Seq,SAMN05296494,GEO,public,SRX1880041,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa,ILLUMINA,2016-08-09T00:00:00Z,GSM2218727,SRP077289,PRJNA326956,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",149.0,608234742.0,252716148.0,FRD1,GSM2218727,,,Clinical isolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mucoid phenotype,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAMN05296494
SRR3722274,1459,RNA-Seq,SAMN05296495,GEO,public,SRX1880042,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa,ILLUMINA,2016-08-09T00:00:00Z,GSM2218728,SRP077289,PRJNA326956,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",149.0,602435060.0,250150063.0,FRD1,GSM2218728,,,Clinical isolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mucoid phenotype,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAMN05296495
SRR3722279,1464,RNA-Seq,SAMN05296497,GEO,public,SRX1880044,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa,ILLUMINA,2016-08-09T00:00:00Z,GSM2218730,SRP077289,PRJNA326956,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",149.0,608097407.0,249836486.0,C1224_M,GSM2218730,,,Cystic fibrosis clinical isolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mucoid phenotype,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAMN05296497
SRR8309425,227,RNA-Seq,SAMN10564410,GEO,public,SRX5123355,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa,ILLUMINA,2019-04-09T00:00:00Z,GSM3506401,SRP173226,PRJNA509195,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",51.0,265409457.0,164463108.0,clinical isolate,GSM3506401,,,clinical isolate,,,,,,,,respiratory tract,,,Germany: University hospital Essen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAMN10564410
SRR8309426,228,RNA-Seq,SAMN10564409,GEO,public,SRX5123356,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa,ILLUMINA,2019-04-09T00:00:00Z,GSM3506402,SRP173226,PRJNA509195,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",51.0,184627752.0,114599707.0,clinical isolate,GSM3506402,,,clinical isolate,,,,,,,,respiratory tract,,,Germany: University hospital Essen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAMN10564409
SRR8309427,229,RNA-Seq,SAMN10564408,GEO,public,SRX5123357,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa,ILLUMINA,2019-04-09T00:00:00Z,GSM3506403,SRP173226,PRJNA509195,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",51.0,264963513.0,181922857.0,clinical isolate,GSM3506403,,,clinical isolate,,,,,,,,respiratory tract,,,Germany: Charite Berlin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAMN10564408
SRR8309429,231,RNA-Seq,SAMN10564406,GEO,public,SRX5123359,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa,ILLUMINA,2019-04-09T00:00:00Z,GSM3506405,SRP173226,PRJNA509195,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",51.0,486484461.0,329533197.0,clinical isolate,GSM3506405,,,clinical isolate,,,,,,,,rectal infection,,,Germany: Charite Berlin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAMN10564406
SRR8309430,232,RNA-Seq,SAMN10564405,GEO,public,SRX5123360,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa,ILLUMINA,2019-04-09T00:00:00Z,GSM3506406,SRP173226,PRJNA509195,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",51.0,623730051.0,422372806.0,clinical isolate,GSM3506406,,,clinical isolate,,,,,,,,nd/other,,,Germany: Charite Berlin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAMN10564405
SRR8309431,233,RNA-Seq,SAMN10564404,GEO,public,SRX5123361,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa,ILLUMINA,2019-04-09T00:00:00Z,GSM3506407,SRP173226,PRJNA509195,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",51.0,475270377.0,322145283.0,clinical isolate,GSM3506407,,,clinical isolate,,,,,,,,respiratory tract,,,Germany: Charite Berlin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAMN10564404
SRR8309432,234,RNA-Seq,SAMN10564403,GEO,public,SRX5123362,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa,ILLUMINA,2019-04-09T00:00:00Z,GSM3506408,SRP173226,PRJNA509195,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",51.0,426440529.0,289303999.0,clinical isolate,GSM3506408,,,clinical isolate,,,,,,,,wound infection,,,Germany: Charite Berlin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAMN10564403
SRR8309433,235,RNA-Seq,SAMN10564402,GEO,public,SRX5123363,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa,ILLUMINA,2019-04-09T00:00:00Z,GSM3506409,SRP173226,PRJNA509195,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",51.0,580520556.0,395188484.0,clinical isolate,GSM3506409,,,clinical isolate,,,,,,,,nd/other,,,Germany: Charite Berlin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAMN10564402
SRR8309434,236,RNA-Seq,SAMN10564401,GEO,public,SRX5123364,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa,ILLUMINA,2019-04-09T00:00:00Z,GSM3506410,SRP173226,PRJNA509195,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",51.0,356775345.0,241750335.0,clinical isolate,GSM3506410,,,clinical isolate,,,,,,,,urinary tract,,,Germany: Charite Berlin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAMN10564401
SRR8309435,237,RNA-Seq,SAMN10564400,GEO,public,SRX5123365,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa,ILLUMINA,2019-04-09T00:00:00Z,GSM3506411,SRP173226,PRJNA509195,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",51.0,606011733.0,411293952.0,clinical isolate,GSM3506411,,,clinical isolate,,,,,,,,nd/other,,,Germany: Charite Berlin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAMN10564400
SRR8309436,238,RNA-Seq,SAMN10564399,GEO,public,SRX5123366,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa,ILLUMINA,2019-04-09T00:00:00Z,GSM3506412,SRP173226,PRJNA509195,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",51.0,458730465.0,312305167.0,clinical isolate,GSM3506412,,,clinical isolate,,,,,,,,nd/other,,,Germany: Charite Berlin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAMN10564399
SRR8309437,239,RNA-Seq,SAMN10564398,GEO,public,SRX5123367,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa,ILLUMINA,2019-04-09T00:00:00Z,GSM3506413,SRP173226,PRJNA509195,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",51.0,475176843.0,323780543.0,clinical isolate,GSM3506413,,,clinical isolate,,,,,,,,wound infection,,,Germany: Charite Berlin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAMN10564398
SRR8309438,240,RNA-Seq,SAMN10564397,GEO,public,SRX5123368,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa,ILLUMINA,2019-04-09T00:00:00Z,GSM3506414,SRP173226,PRJNA509195,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",51.0,396152190.0,268755835.0,clinical isolate,GSM3506414,,,clinical isolate,,,,,,,,nd/other,,,Germany: Charite Berlin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAMN10564397
SRR8309439,241,RNA-Seq,SAMN10564396,GEO,public,SRX5123369,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa,ILLUMINA,2019-04-09T00:00:00Z,GSM3506415,SRP173226,PRJNA509195,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",51.0,370545753.0,253220773.0,clinical isolate,GSM3506415,,,clinical isolate,,,,,,,,respiratory tract,,,Germany: Charite Berlin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAMN10564396
SRR8309440,242,RNA-Seq,SAMN10564395,GEO,public,SRX5123370,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa,ILLUMINA,2019-04-09T00:00:00Z,GSM3506416,SRP173226,PRJNA509195,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",51.0,473976456.0,319234487.0,clinical isolate,GSM3506416,,,clinical isolate,,,,,,,,urinary tract,,,Germany: Charite Berlin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAMN10564395
SRR8309441,243,RNA-Seq,SAMN10564394,GEO,public,SRX5123371,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa,ILLUMINA,2019-04-09T00:00:00Z,GSM3506417,SRP173226,PRJNA509195,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",51.0,560636268.0,382981926.0,clinical isolate,GSM3506417,,,clinical isolate,,,,,,,,nd/other,,,Germany: Charite Berlin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAMN10564394
SRR8309442,244,RNA-Seq,SAMN10564393,GEO,public,SRX5123372,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa,ILLUMINA,2019-04-09T00:00:00Z,GSM3506418,SRP173226,PRJNA509195,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",51.0,438086838.0,297370029.0,clinical isolate,GSM3506418,,,clinical isolate,,,,,,,,nd/other,,,Germany: Charite Berlin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAMN10564393
SRR8309443,245,RNA-Seq,SAMN10564392,GEO,public,SRX5123373,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa,ILLUMINA,2019-04-09T00:00:00Z,GSM3506419,SRP173226,PRJNA509195,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",51.0,556598037.0,377065381.0,clinical isolate,GSM3506419,,,clinical isolate,,,,,,,,respiratory tract,,,Germany: Charite Berlin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAMN10564392
SRR8309445,247,RNA-Seq,SAMN10564390,GEO,public,SRX5123375,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa,ILLUMINA,2019-04-09T00:00:00Z,GSM3506421,SRP173226,PRJNA509195,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",51.0,639652149.0,436817504.0,clinical isolate,GSM3506421,,,clinical isolate,,,,,,,,respiratory tract,,,Germany: Charite Berlin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAMN10564390
